Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product
zapA	BW25113_RS15130	3048971	3049300	cell division protein ZapA
wzb	BW25113_RS10760	2129136	2129579	protein-tyrosine phosphatase
dcyD	BW25113_RS10045	1991975	1992961	D-cysteine desulfhydrase
lsrB	BW25113_RS07945	1599308	1600330	Autoinducer-2 ABC transporter periplasmic binding protein
argC	BW25113_RS20540	4144929	4145933	N-acetylglutamylphosphate reductase
BW25113_RS14025	BW25113_RS14025	2811912	2812004	tRNA-Ser
ygeA	BW25113_RS14775	2973302	2973994	amino acid racemase YgeA
hrpB	BW25113_RS00740	158592	161021	RNA-dependent NTPase HrpB
gcvR	BW25113_RS12935	2593265	2593837	transcriptional regulator GcvR
cas2	BW25113_RS14330	2871928	2872212	CRISPR-associated endoribonuclease Cas2
alaC	BW25113_RS12415	2490536	2491774	glutamate&mdash;pyruvate aminotransferase AlaC
talA	BW25113_RS12845	2572025	2572975	transaldolase A
yhjB	BW25113_RS18245	3664652	3665254	putative DNA-binding transcriptional regulator YhjB
ybgQ	BW25113_RS15810	3180759	3183224	putative fimbrial usher protein YbgQ
argO	BW25113_RS15190	3061532	3062167	L-arginine exporter
zapC	BW25113_RS04905	1001408	1001950	cell division protein ZapC
pinE	BW25113_RS06010	1205141	1205695	e14 prophage; site-specific DNA recombinase
mltA	BW25113_RS14630	2939440	2940537	membrane-bound lytic murein transglycosylase A
npr	BW25113_RS16615	3341325	3341597	phosphorelay protein NPr
ydcC	BW25113_RS07660	1526073	1527209	H repeat-associated putative transposase YdcC
nuoN	BW25113_RS11890	2383527	2384984	NADH:quinone oxidoreductase subunit N
ygdQ	BW25113_RS14735	2963779	2964492	TerC family protein
folX	BW25113_RS12030	2414804	2415166	dihydroneopterin triphosphate 2'-epimerase
yqiH	BW25113_RS15815	3183240	3183989	putative fimbrial chaperone YqiH
yfcZ	BW25113_RS12225	2454129	2454413	DUF406 domain-containing protein YfcZ
BW25113_RS10915	BW25113_RS10915	2166402	2167757	galactitol permease IIC component
insH5	BW25113_RS07180	1422003	1422983	Rac prophage; IS<i>5</i> transposase and trans-activator
BW25113_RS01015	BW25113_RS01015	221868	221944	tRNA-Ile
cheA	BW25113_RS09895	1967617	1969581	chemotaxis protein CheA
ebgC	BW25113_RS15980	3219081	3219530	DUF386 domain-containing evolved &beta;-D-galactosidase subunit &beta;
BW25113_RS01535	BW25113_RS01535	310068	310943	inverse autotransporter beta domain-containing protein
yfaT	BW25113_RS11640	2327815	2328438	DUF1175 domain-containing protein YfaT
prpE	BW25113_RS01720	348417	350303	propionyl-CoA synthetase
hisS	BW25113_RS13115	2632660	2633934	histidine&mdash;tRNA ligase
BW25113_RS01020	BW25113_RS01020	221987	222062	tRNA-Ala
trxA	BW25113_RS19630	3959121	3959450	reduced thioredoxin 1
yrdA	BW25113_RS17005	3422595	3423149	hexapeptide repeats-containing protein YrdA
wbbK	BW25113_RS10615	2096872	2097990	putative glycosyltransferase WbbK
yggM	BW25113_RS15350	3091917	3092924	DUF1202 domain-containing protein YggM
gspM	BW25113_RS17280	3458441	3458902	type II secretion system protein GspM
acpP	BW25113_RS05695	1147071	1147307	acyl carrier protein
leuA	BW25113_RS00370	78445	80016	2-isopropylmalate synthase
ppk	BW25113_RS13045	2616403	2618469	polyphosphate kinase
slyD	BW25113_RS17355	3471266	3471856	FKBP-type peptidyl-prolyl <i>cis-trans</i> isomerase SlyD
ydfT	BW25113_RS08175	1636746	1637498	Qin prophage; putative antitermination protein Q
pldA	BW25113_RS19840	3998222	3999091	outer membrane phospholipase A
fryC	BW25113_RS12450	2500126	2501373	putative PTS enzyme IIC component FryC
ybeR	BW25113_RS03350	672167	672874	DUF1266 domain-containing protein YbeR
gabD	BW25113_RS13855	2784632	2786080	succinate-semialdehyde dehydrogenase (NADP<sup>+</sup>) GabD
yeiS	BW25113_RS11190	2227079	2227318	DUF2542 domain-containing protein YeiS
BW25113_RS00395	BW25113_RS00395	84347	84433	fruR/shl operon leader peptide
ampD	BW25113_RS00550	115220	115771	1,6-anhydro-<i>N</i>-acetylmuramoyl-L-alanine amidase
pstB	BW25113_RS19365	3900953	3901726	phosphate ABC transporter ATP binding subunit
livH	BW25113_RS17895	3588837	3589763	branched chain amino acid/phenylalanine ABC transporter membrane subunit LivH
ssuA	BW25113_RS04855	991441	992400	aliphatic sulfonate ABC transporter periplasmic binding protein
ibsE	BW25113_RS24335	3188500	3188559	toxic peptide IbsE
yfdR	BW25113_RS12315	2468463	2468999	CPS-53 (KpLE1) prophage; 5'-deoxynucleotidase
accA	BW25113_RS00925	205108	206067	acetyl-CoA carboxyltransferase subunit &alpha;
mtgA	BW25113_RS16625	3342440	3343168	peptidoglycan glycosyltransferase MtgA
fabD	BW25113_RS05685	1145184	1146113	[acyl-carrier-protein] <i>S</i>-malonyltransferase
eutC	BW25113_RS12725	2549769	2550656	ethanolamine ammonia-lyase subunit &beta;
pepB	BW25113_RS13160	2648434	2649717	aminopeptidase B
fumE	BW25113_RS15220	3068045	3068554	fumarase E
wecF	BW25113_RS19695	3970885	3971964	TDP-<i>N</i>-acetylfucosamine:lipid II <i>N</i>-acetylfucosaminyltransferase
otsB	BW25113_RS09930	1975068	1975868	trehalose-6-phosphate phosphatase
tcdA	BW25113_RS14625	2938395	2939201	tRNA threonylcarbamoyladenosine dehydratase
lsrD	BW25113_RS07940	1598304	1599296	Autoinducer-2 ABC transporter membrane subunit LsrD
fnr	BW25113_RS06995	1393031	1393783	DNA-binding transcriptional dual regulator FNR
plsC	BW25113_RS15665	3156103	3156840	1-acylglycerol-3-phosphate <i>O</i>-acyltransferase PlsC
BW25113_RS17000	BW25113_RS17000	3420580	3422121	16S ribosomal RNA
queG	BW25113_RS21650	4382745	4383884	epoxyqueuosine reductase
yajC	BW25113_RS02105	422743	423075	Sec translocon accessory complex subunit YajC
panB	BW25113_RS00670	145294	146088	3-methyl-2-oxobutanoate hydroxymethyltransferase
tam	BW25113_RS07960	1601603	1602361	<i>trans</i>-aconitate 2-methyltransferase
bepA	BW25113_RS13010	2609453	2610916	&beta;-barrel assembly-enhancing protease
psuG	BW25113_RS11300	2250908	2251846	pseudouridine-5'-phosphate glycosidase
xylA	BW25113_RS18505	3722803	3724125	xylose isomerase
rfaH	BW25113_RS19935	4017693	4018181	transcription antiterminator RfaH
infA	BW25113_RS04590	921681	921899	translation initiation factor IF-1
eutK	BW25113_RS12715	2548587	2549087	putative structural protein, ethanolamine utilization microcompartment
srlE	BW25113_RS14070	2819751	2820710	sorbitol-specific PTS enzyme IIBC<sub>1</sub> component
ppc	BW25113_RS20525	4140375	4143026	phosphoenolpyruvate carboxylase
ypfM	BW25113_RS25220	2584166	2584225	uncharacterized protein YpfM
polB	BW25113_RS00305	63429	65780	DNA polymerase II
ygcG	BW25113_RS14450	2899070	2899942	TPM domain-containing protein YgcG
BW25113_RS23635	BW25113_RS23635	1199457	1199636	DUF4222 domain-containing protein
BW25113_RS14640	BW25113_RS14640	2940856	2940932	tRNA-Met
tatD	BW25113_RS19930	4016914	4017696	3' &rarr; 5' ssDNA/RNA  exonuclease TatD
gcl	BW25113_RS02610	529372	531153	glyoxylate carboligase
yciI	BW25113_RS06525	1304826	1305122	protein YciI
gadE	BW25113_RS18200	3651726	3652253	DNA-binding transcriptional activator GadE
ytjB	BW25113_RS25855	4613962	4614606	YtjB family periplasmic protein
frwD	BW25113_RS20510	4137066	4137407	putative PTS enzyme IIB component FrwD
rplP	BW25113_RS17175	3442118	3442528	50S ribosomal protein L16
BW25113_RS18035	BW25113_RS18035	3617247	3617597	lyase
gudX	BW25113_RS14500	2912765	2914105	glucarate dehydratase-related protein
speC	BW25113_RS15400	3100379	3102514	constitutive ornithine decarboxylase
thyA	BW25113_RS14700	2957720	2958514	thymidylate synthase
betB	BW25113_RS01605	322972	324444	betaine aldehyde dehydrogenase
hha	BW25113_RS02375	475546	475764	haemolysin expression-modulating protein Hha
fimG	BW25113_RS22470	4538102	4538605	type 1 fimbriae minor subunit FimG
ycjX	BW25113_RS06920	1378374	1379771	DUF463 domain-containing protein YcjX
nanC	BW25113_RS22415	4528602	4529318	<i>N</i>-acetylneuraminate outer membrane channel
ygfZ	BW25113_RS15070	3034672	3035652	folate-binding protein YgfZ
rspA	BW25113_RS08275	1648184	1649398	mandelate racemase/muconate lactonizing enzyme family protein RspA
alkA	BW25113_RS10795	2140173	2141021	DNA-3-methyladenine glycosylase 2
frlB	BW25113_RS17475	3494627	3495649	fructoselysine 6-phosphate deglycase
ydfD	BW25113_RS08250	1644051	1644242	Qin prophage; lysis protein
yniB	BW25113_RS09030	1802954	1803490	uncharacterized protein YniB
hflK	BW25113_RS21690	4391855	4393114	regulator of FtsH protease
eptA	BW25113_RS21365	4323764	4325407	phosphoethanolamine transferase EptA
rlmM	BW25113_RS14595	2933502	2934602	23S rRNA 2'-<i>O</i>-ribose C2498 methyltransferase
yhdN	BW25113_RS17075	3432500	3432868	DUF1992 domain-containing protein YhdN
fsr	BW25113_RS02475	498932	500152	fosmidomycin efflux pump
lnt	BW25113_RS03410	684799	686337	apolipoprotein <i>N</i>-acyltransferase
cheR	BW25113_RS09875	1962761	1963621	chemotaxis protein methyltransferase
pabC	BW25113_RS05705	1148756	1149565	aminodeoxychorismate lyase
gluQ	BW25113_RS00720	155673	156599	glutamyl-Q tRNA<sup>Asp</sup> synthetase
yhfW	BW25113_RS17515	3501946	3503172	putative mutase YhfW
ldrB	BW25113_RS06335	1265159	1265266	small toxic polypeptide LdrB
yqhH	BW25113_RS15650	3151986	3152243	lipoprotein YqhH
xylE	BW25113_RS20925	4230707	4232182	D-xylose:H<sup>+</sup> symporter
cmoB	BW25113_RS09810	1947699	1948670	tRNA U34 carboxymethyltransferase
BW25113_RS07350	BW25113_RS07350	1459649	1462174	autotransporter domain-containing protein
yjjP	BW25113_RS22720	4591905	4592675	threonine/serine exporter ThrE family protein
BW25113_RS26030	BW25113_RS26030	4618398	4618565	hypothetical protein
rfbX	BW25113_RS10640	2101818	2103065	polyisoprenol-linked O16-antigen repeat unit flippase
btuR	BW25113_RS06615	1322024	1322614	cobinamide/cobalamin adenosyltransferase
flk	BW25113_RS12120	2431429	2432424	putative flagella assembly protein
pdeL	BW25113_RS01625	328082	329170	DNA-binding transcriptional regulator/c-di-GMP phosphodiesterase PdeL
flgD	BW25113_RS05600	1127310	1128005	flagellar biosynthesis, initiation of hook assembly
yidL	BW25113_RS19130	3853643	3854536	putative DNA-binding transcriptional regulator YidL
BW25113_RS01235	BW25113_RS01235	258582	258657	tRNA-Thr
uraA	BW25113_RS13025	2612230	2613519	uracil:H<sup>+</sup> symporter UraA
opgC	BW25113_RS05450	1103240	1104397	osmoregulated periplasmic glucans (OPG) biosynthesis protein C
BW25113_RS15940	BW25113_RS15940	3208957	3209032	tRNA-Ile
agaB	BW25113_RS16270	3277529	3278005	galactosamine-specific PTS enzyme IIB component
yegW	BW25113_RS10960	2175514	2176260	putative DNA-binding transcriptional regulator YegW
BW25113_RS19990	BW25113_RS19990	4030620	4030695	tRNA-Ala
prs	BW25113_RS06285	1256384	1257331	ribose-phosphate diphosphokinase
yjjY	BW25113_RS22930	4630219	4630359	uncharacterized protein YjjY
nusB	BW25113_RS02155	430593	431012	transcription antitermination protein NusB
ydgA	BW25113_RS08445	1684109	1685617	DUF945 domain-containing protein YdgA
coaA	BW25113_RS20620	4164004	4164954	pantothenate kinase
hupB	BW25113_RS02280	456907	457179	DNA-binding protein HU-&beta;
BW25113_RS16255	BW25113_RS16255	3274427	3274984	amidohydrolase family protein
cbrA	BW25113_RS19180	3862737	3863801	colicin M resistance protein
bidA	BW25113_RS08335	1660781	1661476	dethiobiotin synthetase BidA
yhfS	BW25113_RS17495	3498294	3499379	putative aminotransferase YhfS
ynfM	BW25113_RS08350	1663956	1665209	MFS transporter
potF	BW25113_RS04435	889240	890352	putrescine ABC transporter periplasmic binding protein
tyrA	BW25113_RS13575	2732307	2733428	fused chorismate mutase/prephenate dehydrogenase
rimJ	BW25113_RS05555	1121018	1121602	ribosomal-protein-S5-alanine N-acetyltransferase
hyfJ	BW25113_RS12990	2604816	2605229	putative hydrogenase 4 assembly protein
yhdV	BW25113_RS16940	3411749	3411970	lipoprotein YhdV
cobC	BW25113_RS03315	664752	665363	putative adenosylcobalamin phosphatase/&alpha;-ribazole phosphatase
BW25113_RS07655	BW25113_RS07655	1524843	1525987	ISAs1 family transposase
ribC	BW25113_RS08700	1736858	1737499	riboflavin synthase
slp	BW25113_RS18170	3647321	3647887	starvation lipoprotein
nagE	BW25113_RS03500	699400	701346	N-acetylglucosamine-specific PTS enzyme IIABC component
yegS	BW25113_RS10885	2162193	2163092	lipid kinase YegS
oxc	BW25113_RS12380	2483735	2485429	oxalyl-CoA decarboxylase
mcbR	BW25113_RS07615	1514519	1515184	DNA-binding transcriptional dual regulator McbR
dtd	BW25113_RS20170	4070375	4070812	D-aminoacyl-tRNA deacylase
ppiA	BW25113_RS17435	3485084	3485656	peptidyl-prolyl <i>cis-trans</i> isomerase A
fixC	BW25113_RS00225	44180	45466	putative oxidoreductase FixC
hisC	BW25113_RS10560	2085879	2086949	histidinol-phosphate aminotransferase
tolA	BW25113_RS03835	771798	773063	Tol-Pal system protein TolA
flgL	BW25113_RS05640	1135489	1136442	flagellar hook-filament junction protein 2
BW25113_RS10360	BW25113_RS10360	2051508	2051583	tRNA-Asn
atpB	BW25113_RS19430	3914596	3915411	ATP synthase F<sub>o</sub> complex subunit a
BW25113_RS21850	BW25113_RS21850	4417511	4417912	TetR/AcrR family transcriptional regulator
yjhQ	BW25113_RS22380	4523056	4523601	KpLE2 phage-like element; putative acetyltransferase TopAI antitoxin YjhQ
matA	BW25113_RS01510	306457	306999	DNA-binding transcriptional dual regulator MatA
ybdD	BW25113_RS03115	627638	627835	PF04328 family protein YbdD
yffN	BW25113_RS12750	2554984	2555352	CPZ-55 prophage; uncharacterized protein YffN
tdh	BW25113_RS18780	3783680	3784705	threonine dehydrogenase
curA	BW25113_RS07610	1513284	1514321	NADPH-dependent curcumin/dihydrocurcumin reductase
glnL	BW25113_RS20075	4048650	4049699	protein histidine kinase NtrB
recR	BW25113_RS02440	489861	490466	recombination mediator protein RecR
nadR	BW25113_RS22865	4617132	4618364	DNA-binding transcriptional repressor/NMN adenylyltransferase NadR
ycjN	BW25113_RS06865	1366166	1367458	putative ABC transporter periplasmic binding protein YcjN
tig	BW25113_RS02260	450589	451887	trigger factor
ykfM	BW25113_RS01095	234744	235223	uncharacterized protein YkfM
fabY	BW25113_RS20175	4070857	4071798	putative fatty acid biosynthesis enzyme FabY
fadD	BW25113_RS09445	1882318	1884003	long-chain-fatty-acid&mdash;CoA ligase
BW25113_RS03470	BW25113_RS03470	692513	692589	tRNA-Met
ansP	BW25113_RS07630	1518738	1520237	L-asparagine transporter
hsdS	BW25113_RS22635	4569885	4571279	type I restriction enzyme EcoKI specificity subunit
copA	BW25113_RS02500	504331	506835	copper-exporting P-type ATPase CopA
yffS	BW25113_RS12775	2557882	2558691	CPZ-55 prophage; uncharacterized protein YffS
rcnR	BW25113_RS10980	2179003	2179275	DNA-binding transcriptional repressor RcnR
yedP	BW25113_RS10215	2018992	2019807	putative mannosyl-3-phosphoglycerate phosphatase
BW25113_RS14875	BW25113_RS14875	2989731	2990959	IS3-like element IS2 family transposase
trxB	BW25113_RS04610	926541	927506	thioredoxin reductase
yraH	BW25113_RS16290	3280785	3281369	putative fimbrial protein YraH
BW25113_RS18395	BW25113_RS18395	3701976	3702052	tRNA-Pro
wzzB	BW25113_RS10590	2090802	2091782	O-antigen co-polymerase
gnsA	BW25113_RS05155	1047523	1047696	putative phosphatidylethanolamine synthesis regulator GnsA
sxy	BW25113_RS04975	1016594	1017223	transcriptional coactivator for CRP
erpA	BW25113_RS00785	173097	173441	iron-sulfur cluster insertion protein ErpA
slyA	BW25113_RS08595	1714647	1715081	DNA-binding transcriptional dual regulator SlyA
pflC	BW25113_RS20505	4136186	4137064	putative pyruvate formate-lyase 2 activating enzyme PflC
alr	BW25113_RS21045	4255710	4256789	alanine racemase 1
uup	BW25113_RS04920	1005420	1007327	ATP-binding protein Uup
stpA	BW25113_RS13895	2791450	2791854	DNA-binding transcriptional repressor StpA with RNA chaperone activity
xylF	BW25113_RS18510	3724491	3725483	xylose ABC transporter periplasmic binding protein
acrA	BW25113_RS02390	479882	481075	multidrug efflux pump membrane fusion lipoprotein AcrA
cspH	BW25113_RS05140	1046419	1046631	CspA family protein CspH
torZ	BW25113_RS09815	1948835	1951264	trimethylamine <i>N</i>-oxide reductase 2
ybiJ	BW25113_RS04165	833121	833381	DUF1471 domain-containing protein YbiJ
yccE	BW25113_RS05205	1059492	1060748	uncharacterized protein YccE
ynjH	BW25113_RS09205	1836120	1836392	DUF1496 domain-containing protein YnjH
menI	BW25113_RS08820	1759479	1759889	1,4-dihydroxy-2-naphthoyl-CoA hydrolase
ybcV	BW25113_RS02880	574640	575050	DLP12 prophage; DUF1398 domain-containing protein YbcV
hisB	BW25113_RS10565	2086949	2088016	imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase
ispU	BW25113_RS00870	191393	192151	<i>ditrans,polycis</i>-undecaprenyl-diphosphate synthase [(2<i>E</i>,6<i>E</i>)-farnesyl-diphosphate specific]
ydeR	BW25113_RS07880	1582050	1582553	putative fimbrial protein YdeR
ytfH	BW25113_RS21885	4423930	4424310	putative transcriptional regulator YtfH
dnaA	BW25113_RS19245	3875686	3877089	chromosomal replication initiator protein DnaA
rpoC	BW25113_RS20690	4175278	4179501	RNA polymerase subunit &beta;'
rem	BW25113_RS08190	1638908	1639159	Qin prophage; protein Rem
phnG	BW25113_RS21300	4311061	4311513	carbon-phosphorus lyase core complex subunit PhnG
ybjD	BW25113_RS04550	911929	913587	DUF2813 domain-containing protein YbjD
speF	BW25113_RS03580	713718	715916	inducible ornithine decarboxylase
idnR	BW25113_RS22135	4479958	4480956	DNA-binding transcriptional dual regulator IdnR
phoU	BW25113_RS19360	3900213	3900938	negative regulator of the <i>pho</i> regulon
pqiB	BW25113_RS04930	1008715	1010355	intermembrane transport protein PqiB
yfcS	BW25113_RS12195	2445063	2445815	putative fimbrial chaperone YfcS
hybB	BW25113_RS15555	3136345	3137523	hydrogenase 2 membrane subunit
lysO	BW25113_RS04535	909414	910313	L-lysine/thialysine exporter
ybjL	BW25113_RS04395	883590	885275	putative transport protein YbjL
ileS	BW25113_RS00125	22391	25207	isoleucine&mdash;tRNA ligase
yggU	BW25113_RS15335	3089742	3090032	DUF167 domain-containing protein YggU
lpxC	BW25113_RS00480	103044	103961	UDP-3-O-acyl-N-acetylglucosamine deacetylase
entC	BW25113_RS03085	620341	621516	isochorismate synthase EntC
lapC	BW25113_RS11420	2277855	2279615	lipopolysaccharide signal transducer LapC
yidC	BW25113_RS19265	3878436	3880082	membrane protein insertase YidC
phoR	BW25113_RS02070	413345	414640	sensor histidine kinase PhoR
ycgR	BW25113_RS06215	1239249	1239983	flagellar brake protein YcgR
sufC	BW25113_RS08800	1756023	1756769	Fe-S cluster scaffold complex subunit SufC
acnA	BW25113_RS06675	1330088	1332763	aconitate hydratase 1
pstC	BW25113_RS19375	3902799	3903758	phosphate ABC transporter membrane subunit PstC
BW25113_RS01190	BW25113_RS01190	249966	250172	RtcB family protein
yfdK	BW25113_RS12280	2464556	2464996	CPS-53 (KpLE1) prophage; putative tail fiber assembly protein YfdK
minD	BW25113_RS06115	1220005	1220817	Z-ring positioning protein MinD
yhjV	BW25113_RS18355	3693923	3695194	putative transporter YhjV
chiQ	BW25113_RS03515	705246	705572	lipoprotein ChiQ
BW25113_RS01350	BW25113_RS01350	274889	275586	IS1 family transposase
yqcG	BW25113_RS14445	2898916	2899056	cell envelope stress response protein YqcG
fabH	BW25113_RS05680	1144215	1145168	3-oxoacyl-[acyl carrier protein] synthase 3
ytfR	BW25113_RS21965	4440875	4442377	galactofuranose ABC transporter putative ATP binding subunit
ytfP	BW25113_RS21940	4437711	4438052	&gamma;-glutamylamine cyclotransferase family protein YtfP
rlmF	BW25113_RS04190	837788	838714	23S rRNA m<sup>6</sup>A1618 methyltransferase
rpoS	BW25113_RS14265	2859918	2860910	RNA polymerase sigma factor RpoS
ycjY	BW25113_RS06955	1385190	1386110	putative hydrolase YcjY
yhfX	BW25113_RS17520	3503172	3504335	putative PLP-binding protein YhfX
paaJ	BW25113_RS07330	1455150	1456355	&beta;-ketoadipyl-CoA thiolase
kdpA	BW25113_RS03610	722515	724188	K<sup>+</sup> transporting P-type ATPase subunit KdpA
ydhJ	BW25113_RS08605	1715521	1716378	putative membrane fusion protein YdhJ
gshB	BW25113_RS15305	3085237	3086187	glutathione synthetase
sdiA	BW25113_RS10030	1989591	1990313	DNA-binding transcriptional dual regulator SdiA
mhpE	BW25113_RS01820	369324	370337	4-hydroxy-2-oxovalerate aldolase
nuoC	BW25113_RS11940	2395534	2397336	NADH:quinone oxidoreductase subunit CD
nhaR	BW25113_RS00095	18721	19620	DNA-binding transcriptional activator NhaR
yeiB	BW25113_RS11230	2235289	2236446	DUF418 domain-containing protein YeiB
mhpC	BW25113_RS01805	367214	367561	2-hydroxy-6-oxonona-2,4-dienedioate hydrolase
ytfF	BW25113_RS21875	4421908	4422873	inner membrane protein YtfF
rluC	BW25113_RS05655	1140396	1141355	23S rRNA pseudouridine<sup>955/2504/2580</sup> synthase
ydaU	BW25113_RS07130	1415376	1416233	Rac prophage; DUF1376 domain-containing protein YdaU
ybaL	BW25113_RS02470	497018	498694	putative transporter YbaL
gloA	BW25113_RS08640	1722094	1722501	lactoylglutathione lyase
pspG	BW25113_RS21030	4252768	4253010	envelope stress response protein PspG
ulaE	BW25113_RS21805	4412663	4413517	L-ribulose-5-phosphate 3-epimerase UlaE
tolR	BW25113_RS03830	771305	771733	Tol-Pal system protein TolR
dinJ	BW25113_RS01145	242729	242989	antitoxin/DNA-binding transcriptional repressor DinJ
cutC	BW25113_RS09825	1952777	1953523	PF03932 family protein CutC
murG	BW25113_RS00450	96131	97198	N-acetylglucosaminyl transferase
yjcB	BW25113_RS21085	4264688	4264969	uncharacterized protein YjcB
yceI	BW25113_RS05505	1113357	1113932	protein YceI
melR	BW25113_RS21385	4330537	4331445	DNA-binding transcriptional dual regulator MelR
gstA	BW25113_RS08560	1708634	1709239	glutathione <i>S</i>-transferase GstA
yagA	BW25113_RS01370	276540	277694	CP4-6 prophage; integrase core domain-containing protein YagA
argR	BW25113_RS16780	3378062	3378532	DNA-binding transcriptional dual regulator ArgR
nudC	BW25113_RS20735	4186831	4187604	RNA decapping hydrolase
ybjH	BW25113_RS04375	880402	880686	uncharacterized protein YbjH
hmp	BW25113_RS13305	2679194	2680384	nitric oxide dioxygenase
ynfL	BW25113_RS08345	1662956	1663849	putative DNA-binding transcriptional regulator YnfL
zraS	BW25113_RS20770	4191854	4193251	sensor histidine kinase ZraS
cysW	BW25113_RS12640	2534163	2535038	sulfate/thiosulfate ABC transporter inner membrane subunit CysW
folP	BW25113_RS16470	3317422	3318270	dihydropteroate synthase
rlmH	BW25113_RS03305	663704	664171	23S rRNA m<sup>3</sup>&Psi;1915 methyltransferase
rffM	BW25113_RS19705	3973316	3974056	UDP-N-acetyl-D-mannosaminuronic acid transferase
galF	BW25113_RS10665	2106915	2107808	UTP:glucose-1-phosphate uridylyltransferase, low activity
rpoZ	BW25113_RS18945	3815466	3815741	RNA polymerase subunit &omega;
ypeC	BW25113_RS12470	2504480	2504806	DUF2502 domain-containing protein YpeC
glpK	BW25113_RS20370	4105642	4107150	glycerol kinase
wcaL	BW25113_RS10675	2109388	2110608	putative colanic acid biosynthesis glycosyl transferase WcaL
rplE	BW25113_RS17150	3440258	3440797	50S ribosomal protein L5
cpxA	BW25113_RS20300	4093530	4094903	sensor histidine kinase CpxA
recO	BW25113_RS13385	2695100	2695828	recombination mediator protein RecO
hyaB	BW25113_RS05050	1028710	1030503	hydrogenase 1 large subunit
yibL	BW25113_RS18710	3770025	3770387	DUF2810 domain-containing protein YibL
BW25113_RS12500	BW25113_RS12500	2511520	2511595	tRNA-Ala
ydeS	BW25113_RS07885	1582566	1583096	putative fimbrial protein YdeS
baeR	BW25113_RS10855	2157757	2158479	DNA-binding transcriptional activator BaeR
truC	BW25113_RS14515	2916361	2917143	tRNA pseudouridine<sup>65</sup> synthase
fabR	BW25113_RS20565	4151049	4151699	DNA-binding transcriptional repressor FabR
adeD	BW25113_RS19040	3837324	3839090	adenine deaminase
speD	BW25113_RS00600	131275	132069	<i>S</i>-adenosylmethionine decarboxylase proenzyme
feoC	BW25113_RS17670	3536087	3536323	ferrous iron transport protein FeoC
potC	BW25113_RS05845	1178282	1179076	spermidine preferential ABC transporter membrane subunit PotC
nagC	BW25113_RS03485	695830	697050	DNA-binding transcriptional dual regulator NagC
malS	BW25113_RS18535	3730857	3732887	alpha-amylase
ylcJ	BW25113_RS25485	564151	564300	DLP12 prophage; protein YlcJ
glnE	BW25113_RS15855	3190160	3193000	fused glutamine synthetase deadenylase/glutamine synthetase adenylyltransferase
hprS	BW25113_RS10280	2030275	2031633	sensor histidine kinase HprS
mutL	BW25113_RS21670	4387229	4389076	DNA mismatch repair protein MutL
mobB	BW25113_RS20005	4034266	4034793	molybdopterin-guanine dinucleotide biosynthesis adaptor protein
cybC	BW25113_RS22000	4449307	4449672	cytochrome b562
kdpB	BW25113_RS03605	720444	722492	K<sup>+</sup> transporting P-type ATPase subunit KdpB
frc	BW25113_RS12385	2485483	2486733	formyl-CoA transferase
purD	BW25113_RS20780	4194570	4195859	phosphoribosylamine--glycine ligase
ssuE	BW25113_RS04860	992393	992968	NADPH-dependent FMN reductase
adiC	BW25113_RS21370	4325511	4326848	arginine:agmatine antiporter
arnE	BW25113_RS11795	2366036	2366371	undecaprenyl-phosphate-&alpha;-L-Ara4N flippase - ArnE subunit
nikR	BW25113_RS18020	3611948	3612349	DNA-binding transcriptional repressor NikR
ilvM	BW25113_RS19575	3945561	3945824	acetolactate synthase II subunit IlvM
rutR	BW25113_RS05270	1069698	1070336	DNA-binding transcriptional dual regulator RutR
yneP	BW25113_RS25610	1573802	1573924	protein YneP
ldcC	BW25113_RS00930	206166	208307	lysine decarboxylase 2
umuD	BW25113_RS06160	1226223	1226642	DNA polymerase V protein UmuD
gutQ	BW25113_RS14095	2823172	2824137	D-arabinose 5-phosphate isomerase GutQ
rhaT	BW25113_RS20275	4089419	4090453	rhamnose/lyxose:H<sup>+</sup> symporter
bdm	BW25113_RS07765	1550322	1550537	biofilm-dependent modulation protein
BW25113_RS26000	BW25113_RS26000	2466357	2467064	helix-turn-helix domain-containing protein
truD	BW25113_RS14285	2863614	2864663	tRNA pseudouridine<sup>13</sup> synthase
iclR	BW25113_RS20845	4212732	4213556	DNA-binding transcriptional repressor IclR
hcaR	BW25113_RS13230	2661365	2662255	DNA-binding transcriptional dual regulator HcaR
ybgA	BW25113_RS03660	734457	734966	DUF1722 domain-containing protein YbgA
selU	BW25113_RS02590	525588	526682	tRNA 2-selenouridine synthase
bcsB	BW25113_RS18310	3683628	3685967	cellulose synthase periplasmic subunit
ugpA	BW25113_RS17865	3583384	3584271	<i>sn</i>-glycerol 3-phosphate ABC transporter membrane subunit UgpA
lamB	BW25113_RS20955	4237899	4239239	maltose outer membrane channel / phage lambda receptor protein
yafL	BW25113_RS01150	243199	243948	NlpC/P60 family protein YafL
yojO	BW25113_RS25870	2297085	2297249	uncharacterized protein YojO
glaR	BW25113_RS13870	2789033	2789695	DNA-binding transcriptional repressor GlaR
sucC	BW25113_RS03770	758470	759636	succinyl-CoA synthetase subunit &beta;
hinT	BW25113_RS05740	1157341	1157700	purine nucleoside phosphoramidase
